                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.83401,                0.72641,                 1.1188,                 0.9757,                0.93152,                0.96607,                0.76511,                0.64609,                0.57353,                0.95534,             0.00017338,             0.00017338,             0.00017338
                     89,                0.85755,                0.72397,                 1.1077,                0.96925,                0.93463,                0.96587,                0.76369,                0.63958,                0.56808,                0.95412,               0.000161,               0.000161,               0.000161
                     90,                0.83092,                0.72142,                 1.0839,                0.98711,                0.95003,                0.96745,                 0.7708,                0.63957,                0.55988,                0.94903,             0.00014862,             0.00014862,             0.00014862
                     91,                0.78206,                0.78956,                  1.058,                0.97131,                0.94001,                0.96739,                0.77482,                 0.6374,                0.56442,                0.94492,             0.00013625,             0.00013625,             0.00013625
                     92,                0.81182,                0.73273,                 1.0946,                0.96156,                0.91092,                0.96808,                0.76535,                0.64526,                0.58123,                0.95173,             0.00012387,             0.00012387,             0.00012387
                     93,                0.74165,                0.71307,                 1.0463,                0.95854,                0.90146,                0.96596,                0.75016,                0.65991,                0.59849,                0.95888,              0.0001115,              0.0001115,              0.0001115
                     94,                0.73683,                0.67984,                 1.0221,                  0.983,                0.89907,                0.96491,                0.75926,                0.65471,                0.59018,                0.95655,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.75054,                0.67858,                   1.07,                0.97183,                 0.9065,                0.96617,                0.76724,                0.63819,                 0.5757,                0.94819,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.6978,                 0.6263,                 1.0002,                0.95956,                0.92188,                0.96672,                0.76102,                0.63299,                0.57126,                0.94549,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 0.7183,                0.65015,                 1.0533,                0.95533,                0.93031,                0.96603,                0.76215,                0.62309,                0.56787,                0.94088,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.70086,                0.62013,                 1.0235,                0.95143,                0.93641,                0.96524,                0.76814,                0.61361,                0.56223,                0.93555,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.70092,                0.62483,                  1.012,                0.95041,                0.93541,                0.96502,                0.76272,                0.60989,                0.55845,                0.93367,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.68318,                0.60753,                 1.0043,                0.95415,                0.93473,                0.96663,                 0.7596,                0.60685,                0.55607,                0.93146,             2.4875e-05,             2.4875e-05,             2.4875e-05
